Name,YrBorn,YrDeath,Age_at_death,Genre
Giacomo Meyerbeer,1791,1864,73,Romantic composer
Franz Xaver Wolfgang Mozart,1791,1844,53,Romantic composer
Carlo Evasio Soliva,1791,1853,62,Romantic composer
Jan Václav Voříšek,1791,1825,34,Romantic composer
Gioachino Rossini,1792,1868,76,Romantic composer
Hedda Wrangel,1792,1833,41,Romantic composer
Cipriani Potter,1792,1871,79,Romantic composer
Gertrude van den Bergh,1793,1840,47,Romantic composer
Bernhard Klein,1793,1832,39,Romantic composer
Caroline Ridderstolpe,1793,1878,85,Romantic composer
Princess Amalie of Saxony,1794,1870,76,Romantic composer
Ignaz Moscheles,1794,1870,76,Romantic composer
Heinrich Marschner,1795,1861,66,Romantic composer
Saverio Mercadante,1795,1870,75,Romantic composer
Nikolaos Mantzaros,1795,1872,77,Romantic composer
Franz Berwald,1796,1868,72,Romantic composer
Helene Liebmann,1796,1835,39,Romantic composer
Carl Loewe,1796,1869,73,Romantic composer
Mathilda d'Orozco,1796,1863,67,Romantic composer
Giovanni Pacini,1796,1867,71,Romantic composer
Emilie Zumsteeg,1796,1857,61,Romantic composer
Luigi Castellacci,1797,1845,48,Romantic composer
Gaetano Donizetti,1797,1848,51,Romantic composer
Franz Schubert,1797,1828,31,Romantic composer
Annette von Droste-Hülshoff,1797,1848,51,Romantic composer
Antonio Rolla,1798,1837,39,Romantic composer
Olivia Buckley,1799,1847,48,Romantic composer
Maria Fredrica von Stedingk,1799,1868,69,Romantic composer
Fromental Halévy,1799,1862,63,Romantic composer
Oscar I of Sweden,1799,1859,60,Romantic composer
Vincenzo Bellini,1801,1835,34,Romantic composer
Tomasz Padura,1801,1871,70,Romantic composer
Jean-Baptiste Duvernoy,1802,1880,78,Romantic composer
Amédée Méreaux,1802,1874,72,Romantic composer
Cesare Pugni,1802,1870,68,Romantic composer
Eliza Flower,1803,1846,43,Romantic composer
Adolphe Adam,1803,1856,53,Romantic composer
Hector Berlioz,1803,1869,66,Romantic composer
Henri Herz,1803,1888,85,Romantic composer
Franz Lachner,1803,1890,87,Romantic composer
Louise Farrenc,1804,1875,71,Romantic composer
Mikhail Glinka,1804,1857,53,Romantic composer
Johann Strauss I,1804,1849,45,Romantic composer
Fanny Mendelssohn,1805,1847,42,Romantic composer
Leopold von Zenetti,1805,1892,87,Romantic composer
Napoléon Coste,1805,1883,78,Romantic composer
Juan Crisóstomo Arriaga,1806,1826,20,Romantic composer
Johann Kaspar Mertz,1806,1856,50,Romantic composer
Friedrich Burgmüller,1806,1874,68,Romantic composer
Carlo Curti,1807,1872,65,Romantic composer
Ignaz Lachner,1807,1895,88,Romantic composer
Michael William Balfe,1808,1870,62,Romantic composer
Sebastián Iradier,1809,1865,56,Romantic composer
Felix Mendelssohn,1809,1847,38,Romantic composer
Otto Lindblad,1809,1864,55,Romantic composer
Frédéric Chopin,1810,1849,39,Romantic composer
Ferenc Erkel,1810,1893,83,Romantic composer
Otto Nicolai,1810,1849,39,Romantic composer
Norbert Burgmüller,1810,1836,26,Romantic composer
Robert Schumann,1810,1856,46,Romantic composer
Ludwig Schuncke,1810,1834,24,Romantic composer
Ferdinand David,1810,1873,63,Romantic composer
Vinzenz Lachner,1811,1893,82,Romantic composer
Franz Liszt,1811,1886,75,Romantic composer
Ferdinand Hiller,1811,1885,74,Romantic composer
Wilhelm Taubert,1811,1891,80,Romantic composer
Ambroise Thomas,1811,1896,85,Romantic composer
Spyridon Xyndas,1812,1896,84,Romantic composer
Sigismond Thalberg,1812,1871,59,Romantic composer
Louis-Antoine Jullien,1812,1860,48,Romantic composer
Emilie Mayer,1812,1883,71,Romantic composer
Friedrich von Flotow,1812,1883,71,Romantic composer
Alexandre Dubuque,1812,1898,86,Romantic composer
Johann Rufinatscha,1812,1893,81,Romantic composer
Alexander Dargomyzhsky,1813,1869,56,Romantic composer
Semen Hulak-Artemovsky,1813,1873,60,Romantic composer
George Alexander Macfarren,1813,1887,74,Romantic composer
Stephen Heller,1813,1888,75,Romantic composer
Richard Wagner,1813,1883,70,Romantic composer
Ernst Haberbier,1813,1869,56,Romantic composer
Giuseppe Verdi,1813,1901,88,Romantic composer
Charles-Valentin Alkan,1813,1888,75,Romantic composer
Andonios Liveralis,1814,1842,28,Romantic composer
Giuseppe Lillo,1814,1863,49,Romantic composer
Adolf von Henselt,1814,1889,75,Romantic composer
Josephine Lang,1815,1880,65,Romantic composer
Ferdinand Praeger,1815,1891,76,Romantic composer
Robert Volkmann,1815,1883,68,Romantic composer
Józef Władysław Krogulski,1815,1842,27,Romantic composer
William Sterndale Bennett,1816,1875,59,Romantic composer
Charles Dancla,1817,1907,90,Romantic composer
Émile Prudent,1817,1863,46,Romantic composer
Károly Thern,1817,1886,69,Romantic composer
Niels Gade,1817,1890,73,Romantic composer
Henry Litolff,1818,1891,73,Romantic composer
Charles Gounod,1818,1893,75,Romantic composer
Antonio Bazzini,1818,1897,79,Romantic composer
Alexander Dreyschock,1818,1869,51,Romantic composer
Jacques Offenbach,1819,1880,61,Romantic composer
Franz von Suppé,1819,1895,76,Romantic composer
Stanisław Moniuszko,1819,1872,53,Romantic composer
Clara Schumann,1819,1896,77,Romantic composer
Vatroslav Lisinski,1819,1854,35,Romantic composer
Henri Vieuxtemps,1820,1881,61,Romantic composer
Giovanni Bottesini,1821,1889,68,Romantic composer
Josip Runjanin,1821,1878,57,Romantic composer
Emilie Hammarskjöld,1821,1854,33,Romantic composer
Joachim Raff,1822,1882,60,Romantic composer
César Franck,1822,1890,68,Romantic composer
Luigi Arditi,1822,1903,81,Romantic composer
Édouard Lalo,1823,1892,69,Romantic composer
Theodor Kirchner,1823,1903,80,Romantic composer
Kurmangazy Sagyrbayuly,1823,1896,73,Romantic composer
Anton Bruckner,1824,1896,72,Romantic composer
Bedřich Smetana,1824,1884,60,Romantic composer
Carl Reinecke,1824,1910,86,Romantic composer
Jean-Baptiste Arban,1825,1889,64,Romantic composer
Johann Strauss II,1825,1899,74,Romantic composer
Richard Hol,1825,1904,79,Romantic composer
Stephen Foster,1826,1864,38,Romantic composer
Ivar Hallström,1826,1901,75,Romantic composer
Ludwig Minkus,1826,1917,91,Romantic composer
"Prince Gustav, Duke of Uppland",1827,1852,25,Romantic composer
Josef Strauss,1827,1870,43,Romantic composer
Adolphe Blanc,1828,1885,57,Romantic composer
Adrien Barthe,1828,1898,70,Romantic composer
Eduard Rohde,1828,1883,55,Romantic composer
Johann Dubez,1828,1891,63,Romantic composer
Jacques Blumenthal,1829,1908,79,Romantic composer
Patrick Gilmore,1829,1892,63,Romantic composer
Louis Moreau Gottschalk,1829,1869,40,Romantic composer
Anton Rubinstein,1829,1894,65,Romantic composer
Karl Goldmark,1830,1915,85,Romantic composer
Hans von Bülow,1830,1894,64,Romantic composer
Theodor Leschetizky,1830,1915,85,Romantic composer
Ivan Larionov,1830,1889,59,Romantic composer
Kornelije Stanković,1831,1865,34,Romantic composer
Jan Gerard Palm,1831,1906,75,Romantic composer
Hiromori Hayashi,1831,1896,65,Romantic composer
Joseph Joachim,1831,1907,76,Romantic composer
Eduardo Mezzacapo,1832,1898,66,Romantic composer
August Söderman,1832,1876,44,Romantic composer
Ivan Zajc,1832,1914,82,Romantic composer
Francis Edward Bache,1833,1858,25,Romantic composer
Alexander Borodin,1833,1887,54,Romantic composer
Johannes Brahms,1833,1897,64,Romantic composer
Amilcare Ponchielli,1834,1886,52,Romantic composer
Tekla Bądarzewska-Baranowska,1834,1861,27,Romantic composer
Julius Reubke,1834,1858,24,Romantic composer
Peter Benoit,1834,1901,67,Romantic composer
Giuseppe Branzoli,1835,1909,74,Romantic composer
Felix Draeseke,1835,1913,78,Romantic composer
Camille Saint-Saëns,1835,1921,86,Romantic composer
Henryk Wieniawski,1835,1880,45,Romantic composer
Eduard Strauss,1835,1916,81,Romantic composer
César Cui,1835,1918,83,Romantic composer
Davorin Jenko,1835,1914,79,Romantic composer
Friedrich Baumfelder,1836,1916,80,Romantic composer
Léo Delibes,1836,1891,55,Romantic composer
Antônio Carlos Gomes,1836,1896,60,Romantic composer
Bertha Tammelin,1836,1915,79,Romantic composer
Julius Weissenborn,1837,1888,51,Romantic composer
Émile Waldteufel,1837,1915,78,Romantic composer
Mily Balakirev,1837,1910,73,Romantic composer
Georges Bizet,1838,1875,37,Romantic composer
Max Bruch,1838,1920,82,Romantic composer
Modest Mussorgsky,1839,1881,42,Romantic composer
John Knowles Paine,1839,1906,67,Romantic composer
Josef Rheinberger,1839,1901,62,Romantic composer
Pyotr Ilyich Tchaikovsky,1840,1893,53,Romantic composer
John Stainer,1840,1901,61,Romantic composer
Louis-Albert Bourgault-Ducoudray,1840,1910,70,Romantic composer
Johan Svendsen,1840,1911,71,Romantic composer
Louis Brassin,1840,1884,44,Romantic composer
Emmanuel Chabrier,1841,1894,53,Romantic composer
Felip Pedrell,1841,1922,81,Romantic composer
Giovanni Sgambati,1841,1914,73,Romantic composer
Antonín Dvořák,1841,1904,63,Romantic composer
Giuseppe Silvestri,1841,1921,80,Romantic composer
Arrigo Boito,1842,1918,76,Romantic composer
Mykola Lysenko,1842,1912,70,Romantic composer
Johann Nepomuk Fuchs,1842,1899,57,Romantic composer
Jules Massenet,1842,1912,70,Romantic composer
Arthur Sullivan,1842,1900,58,Romantic composer
Calixa Lavallée,1842,1891,49,Romantic composer
Émile Bernard,1843,1902,59,Romantic composer
Edvard Grieg,1843,1907,64,Romantic composer
David Popper,1843,1913,70,Romantic composer
Paul Taffanel,1844,1908,64,Romantic composer
Nikolai Rimsky-Korsakov,1844,1908,64,Romantic composer
Pietro Armanini,1844,1895,51,Romantic composer
Pablo de Sarasate,1844,1908,64,Romantic composer
Charles-Marie Widor,1844,1937,93,Romantic composer
Friedrich Nietzsche,1844,1900,56,Romantic composer
Ion Ivanovici,1845,1902,57,Romantic composer
Gabriel Fauré,1845,1924,79,Romantic composer
Ignaz Brüll,1846,1907,61,Romantic composer
Luigi Denza,1846,1922,76,Romantic composer
Ferdinando de Cristofaro,1846,1890,44,Romantic composer
Zygmunt Noskowski,1846,1909,63,Romantic composer
Robert Fuchs,1847,1927,80,Romantic composer
Chiquinha Gonzaga,1847,1935,88,Romantic composer
Augusta Holmès,1847,1903,56,Romantic composer
Philipp Scharwenka,1847,1917,70,Romantic composer
Henri Duparc,1848,1933,85,Romantic composer
Hubert Parry,1848,1918,70,Romantic composer
Benjamin Godard,1849,1895,46,Romantic composer
Ernesto Köhler,1849,1907,58,Romantic composer
C. A. Bracco,1850,1903,53,Romantic composer
Zdeněk Fibich,1850,1900,50,Romantic composer
Xaver Scharwenka,1850,1924,74,Romantic composer
Alexandre Luigini,1850,1906,56,Romantic composer
Max Josef Beer,1851,1908,57,Romantic composer
Josif Marinković,1851,1931,80,Romantic composer
Vincent d'Indy,1851,1931,80,Romantic composer
Francisco Tárrega,1852,1909,57,Romantic composer
Hans Huber,1852,1921,69,Romantic composer
Charles Villiers Stanford,1852,1924,72,Romantic composer
Ciprian Porumbescu,1853,1883,30,Romantic composer
Teresa Carreño,1853,1917,64,Romantic composer
Engelbert Humperdinck,1854,1921,67,Romantic composer
Leoš Janáček,1854,1928,74,Romantic composer
Alfredo Catalani,1854,1893,39,Romantic composer
Moritz Moszkowski,1854,1925,71,Romantic composer
John Philip Sousa,1854,1932,78,Romantic composer
Bernard Zweers,1854,1924,70,Romantic composer
George Whitefield Chadwick,1854,1931,77,Romantic composer
Ernest Chausson,1855,1899,44,Romantic composer
Jean Pietrapertosa,1855,1940,85,Romantic composer
Julius Röntgen,1855,1932,77,Romantic composer
Anatoly Lyadov,1855,1914,59,Romantic composer
Arnold Mendelssohn,1855,1933,78,Romantic composer
Stevan Mokranjac,1856,1914,58,Romantic composer
Giuseppe Martucci,1856,1909,53,Romantic composer
Sergei Taneyev,1856,1915,59,Romantic composer
Christian Sinding,1856,1941,85,Romantic composer
Edward Elgar,1857,1934,77,Romantic composer
Cécile Chaminade,1857,1944,87,Romantic composer
Ruggero Leoncavallo,1857,1919,62,Romantic composer
Giacomo Puccini,1858,1924,66,Romantic composer
Jenő Hubay,1858,1937,79,Romantic composer
Eugène Ysaÿe,1858,1931,73,Romantic composer
Carlo Curti,1859,1926,67,Romantic composer
