box,week,date,temp,food,male,female,unknown,total,sex ratio
4,15,06/10/14,30,bad,57,77,3,137,74.03
5,15,06/10/14,33,good,51,50,0,101,102
6,15,06/10/14,33,bad,2,4,3,9,50
7,15,06/10/14,27,good,76,93,2,171,81.72
8,15,06/10/14,27,bad,47,48,0,95,97.92
9,15,06/10/14,30,good,53,62,1,116,85.48
10,15,06/10/14,30,bad,90,79,4,173,113.92
11,15,06/10/14,33,good,1,0,0,1,0
12,15,06/10/14,33,bad,18,23,0,41,78.26
13,15,06/10/14,27,good,61,67,0,128,91.04
14,15,06/10/14,27,bad,69,58,4,131,118.97
15,15,06/10/14,30,good,98,109,2,209,89.91
16,15,06/10/14,30,bad,68,71,2,141,95.77
17,15,06/10/14,33,good,0,0,0,0,0
18,15,06/10/14,33,bad,0,0,0,0,0
1,16,14/10/14,27,good,30,52,1,83,57.69
2,16,14/10/14,27,bad,54,47,3,104,114.89
3,16,14/10/14,30,good,55,57,6,118,96.49
4,16,14/10/14,30,bad,64,58,1,123,110.34
5,16,14/10/14,33,good,16,34,0,50,47.06
6,16,14/10/14,33,bad,6,3,0,9,200
7,16,14/10/14,27,good,24,22,2,48,109.09
8,16,14/10/14,27,bad,49,31,1,81,158.06
9,16,14/10/14,30,good,34,56,0,90,60.71
10,16,14/10/14,30,bad,39,43,2,84,90.7
11,16,14/10/14,33,good,0,1,0,1,0
12,16,14/10/14,33,bad,31,18,1,50,172.22
13,16,14/10/14,27,good,43,44,0,87,97.73
14,16,14/10/14,27,bad,46,49,1,96,93.88
15,16,14/10/14,30,good,55,53,1,109,103.77
16,16,14/10/14,30,bad,34,38,3,75,89.47
17,16,14/10/14,33,good,0,0,0,0,0
18,16,14/10/14,33,bad,0,0,0,0,0
1,17,20/10/14,27,good,33,51,1,85,64.71
2,17,20/10/14,27,bad,12,12,0,24,100
3,17,20/10/14,30,good,23,34,3,60,67.65
4,17,20/10/14,30,bad,34,32,3,69,106.25
5,17,20/10/14,33,good,23,25,0,48,92
6,17,20/10/14,33,bad,29,22,1,52,131.82
7,17,20/10/14,27,good,38,36,2,76,105.56
8,17,20/10/14,27,bad,35,29,2,66,120.69
9,17,20/10/14,30,good,28,26,1,55,107.69
10,17,20/10/14,30,bad,51,47,2,100,108.51
11,17,20/10/14,33,good,34,9,0,43,377.78
12,17,20/10/14,33,bad,21,23,0,44,91.3
13,17,20/10/14,27,good,21,26,1,48,80.77
14,17,20/10/14,27,bad,18,28,0,46,64.29
15,17,20/10/14,30,good,42,58,0,100,72.41
16,17,20/10/14,30,bad,48,40,1,89,120
17,17,20/10/14,33,good,0,0,0,0,0
1,18,27/10/14,27,good,50,90,2,142,55.56
2,18,27/10/14,27,bad,51,44,0,95,115.91
3,18,27/10/14,30,good,80,89,1,170,89.89
4,18,27/10/14,30,bad,73,87,6,166,83.91
5,18,27/10/14,33,good,39,52,0,91,75
6,18,27/10/14,33,bad,48,60,1,109,80
7,18,27/10/14,27,good,38,35,1,74,108.57
8,18,27/10/14,27,bad,32,29,4,65,110.34
9,18,27/10/14,30,good,27,30,1,58,90
10,18,27/10/14,30,bad,65,66,3,134,98.48
11,18,27/10/14,33,good,14,20,0,34,70
12,18,27/10/14,33,bad,5,15,0,20,33.33
13,18,27/10/14,27,good,47,55,5,107,85.45
14,18,27/10/14,27,bad,55,74,3,132,74.32
15,18,27/10/14,30,good,69,102,1,172,67.65
16,18,27/10/14,30,bad,61,59,1,121,103.39
17,18,27/10/14,33,good,0,0,0,0,0
1,19,03/11/14,27,good,38,60,0,98,63.33
2,19,03/11/14,27,bad,101,103,2,206,98.06
3,19,03/11/14,30,good,80,87,6,173,91.95
4,19,03/11/14,30,bad,100,111,4,215,90.09
5,19,03/11/14,33,good,22,51,0,73,43.14
6,19,03/11/14,33,bad,29,41,1,71,70.73
7,19,03/11/14,27,good,64,67,2,133,95.52
8,19,03/11/14,27,bad,63,51,1,115,123.53
9,19,03/11/14,30,good,69,49,1,119,140.82
10,19,03/11/14,30,bad,113,125,4,242,90.4
11,19,03/11/14,33,good,1,6,0,7,16.67
12,19,03/11/14,33,bad,7,13,1,21,53.85
13,19,03/11/14,27,good,40,51,6,97,78.43
14,19,03/11/14,27,bad,70,80,5,155,87.5
15,19,03/11/14,30,good,66,91,2,159,72.53
16,19,03/11/14,30,bad,69,72,2,143,95.83
1,20,11/11/14,27,good,20,51,4,75,39.22
2,20,11/11/14,27,bad,92,80,4,176,115
3,20,11/11/14,30,good,29,52,2,83,55.77
4,20,11/11/14,30,bad,119,106,5,230,112.26
5,20,11/11/14,33,good,4,11,0,15,36.36
6,20,11/11/14,33,bad,6,20,1,27,30
7,20,11/11/14,27,good,61,89,4,154,68.54
8,20,11/11/14,27,bad,111,105,3,219,105.71
9,20,11/11/14,30,good,97,133,1,231,72.93
10,20,11/11/14,30,bad,103,155,2,260,66.45
11,20,11/11/14,33,good,0,0,0,0,0
12,20,11/11/14,33,bad,20,20,0,40,100
13,20,11/11/14,27,good,58,139,15,212,41.73
14,20,11/11/14,27,bad,107,133,0,240,80.45
15,20,11/11/14,30,good,49,82,1,132,59.76
16,20,11/11/14,30,bad,67,71,5,143,94.37
1,21,17/11/14,27,good,54,50,1,105,108
2,21,17/11/14,27,bad,33,62,1,96,53.23
3,21,17/11/14,30,good,16,32,1,49,50
4,21,17/11/14,30,bad,43,50,3,96,86
5,21,17/11/14,33,good,2,2,0,4,100
6,21,17/11/14,33,bad,7,4,0,11,175
7,21,17/11/14,27,good,48,72,4,124,66.67
8,21,17/11/14,27,bad,69,70,3,142,98.57
9,21,17/11/14,30,good,92,134,2,228,68.66
10,21,17/11/14,30,bad,80,94,4,178,85.11
11,21,17/11/14,33,good,0,0,0,0,0
12,21,17/11/14,33,bad,16,17,0,33,94.12
13,21,17/11/14,27,good,63,67,5,135,94.03
14,21,17/11/14,27,bad,52,81,6,139,64.2
15,21,17/11/14,30,good,39,59,0,98,66.1
16,21,17/11/14,30,bad,69,56,3,128,123.21
1,22,24/11/14,27,good,38,48,1,87,79.17
2,22,24/11/14,27,bad,16,37,1,54,43.24
3,22,24/11/14,30,good,112,127,0,239,88.19
4,22,24/11/14,30,bad,65,85,13,163,76.47
5,22,24/11/14,33,good,0,0,0,0,0
6,22,24/11/14,33,bad,10,21,0,31,47.62
7,22,24/11/14,27,good,54,82,3,139,65.85
8,22,24/11/14,27,bad,52,63,4,119,82.54
9,22,24/11/14,30,good,34,64,0,98,53.13
10,22,24/11/14,30,bad,50,62,11,123,80.65
11,22,24/11/14,33,good,0,0,0,0,0
12,22,24/11/14,33,bad,18,12,0,30,150
13,22,24/11/14,27,good,10,33,0,43,30.3
14,22,24/11/14,27,bad,41,70,7,118,58.57
15,22,24/11/14,30,good,88,145,3,236,60.69
16,22,24/11/14,30,bad,54,82,7,143,65.85
1,23,01/12/14,27,good,61,104,1,166,58.65
2,23,01/12/14,27,bad,64,74,1,139,86.49
3,23,01/12/14,30,good,107,141,11,259,75.89
4,23,01/12/14,30,bad,74,90,5,169,82.22
5,23,01/12/14,33,good,0,0,0,0,0
6,23,01/12/14,33,bad,31,28,0,59,110.71
7,23,01/12/14,27,good,61,76,3,140,80.26
8,23,01/12/14,27,bad,26,25,2,53,104
9,23,01/12/14,30,good,44,44,6,94,100
10,23,01/12/14,30,bad,95,82,1,178,115.85
11,23,01/12/14,33,good,0,0,0,0,0
12,23,01/12/14,33,bad,20,44,1,65,45.45
13,23,01/12/14,27,good,31,21,1,53,147.62
14,23,01/12/14,27,bad,59,63,12,134,93.65
15,23,01/12/14,30,good,82,75,2,159,109.33
16,23,01/12/14,30,bad,80,89,6,175,89.89
1,24,08/12/14,27,good,28,58,4,90,48.28
2,24,08/12/14,27,bad,48,50,1,99,96
3,24,08/12/14,30,good,31,47,15,93,65.96
4,24,08/12/14,30,bad,55,57,4,116,96.49
5,24,08/12/14,33,good,0,1,0,1,0
6,24,08/12/14,33,bad,13,19,0,32,68.42
7,24,08/12/14,27,good,40,55,1,96,72.73
8,24,08/12/14,27,bad,26,20,1,47,130
9,24,08/12/14,30,good,49,85,3,137,57.65
10,24,08/12/14,30,bad,37,53,9,99,69.81
11,24,08/12/14,33,good,0,0,0,0,0
12,24,08/12/14,33,bad,13,23,0,36,56.52
13,24,08/12/14,27,good,5,6,1,12,83.33
14,24,08/12/14,27,bad,36,48,3,87,75
15,24,08/12/14,30,good,22,40,0,62,55
16,24,08/12/14,30,bad,36,45,0,81,80
1,25,15/12/14,27,good,37,48,12,97,77.08
2,25,15/12/14,27,bad,37,40,0,77,92.5
3,25,15/12/14,30,good,51,63,1,115,80.95
4,25,15/12/14,30,bad,66,71,7,144,92.96
5,25,15/12/14,33,good,0,0,0,0,0
6,25,15/12/14,33,bad,12,17,0,29,70.59
7,25,15/12/14,27,good,60,72,5,137,83.33
8,25,15/12/14,27,bad,27,36,4,67,75
9,25,15/12/14,30,good,108,142,10,260,76.06
10,25,15/12/14,30,bad,77,81,4,162,95.06
12,25,15/12/14,33,bad,26,24,0,50,108.33
13,25,15/12/14,27,good,3,4,0,7,75
14,25,15/12/14,27,bad,36,30,1,67,120
15,25,15/12/14,30,good,23,30,0,53,76.67
16,25,15/12/14,30,bad,46,63,3,112,73.02
1,26,22/12/14,27,good,51,41,8,100,124.39
2,26,22/12/14,27,bad,40,29,0,69,137.93
3,26,22/12/14,30,good,199,267,5,471,74.53
4,26,22/12/14,30,bad,100,119,8,227,84.03
5,26,22/12/14,33,good,0,0,0,0,0
6,26,22/12/14,33,bad,26,17,1,44,152.94
7,26,22/12/14,27,good,101,147,12,260,68.71
8,26,22/12/14,27,bad,56,70,7,133,80
9,26,22/12/14,30,good,122,150,9,281,81.33
10,26,22/12/14,30,bad,109,147,17,273,74.15
12,26,22/12/14,33,bad,57,43,1,101,132.56
13,26,22/12/14,27,good,9,8,0,17,112.5
14,26,22/12/14,27,bad,39,29,1,69,134.48
15,26,22/12/14,30,good,42,36,1,79,116.67
16,26,22/12/14,30,bad,113,139,10,262,81.29
1,27,29/12/14,27,good,99,106,11,216,93.4
2,27,29/12/14,27,bad,46,39,4,89,117.95
3,27,29/12/14,30,good,112,110,18,240,101.82
4,27,29/12/14,30,bad,118,112,9,239,105.36
6,27,29/12/14,33,bad,17,19,1,37,89.47
7,27,29/12/14,27,good,98,107,6,211,91.59
8,27,29/12/14,27,bad,70,65,3,138,107.69
9,27,29/12/14,30,good,61,96,7,164,63.54
10,27,29/12/14,30,bad,120,143,12,275,83.92
12,27,29/12/14,33,bad,26,31,1,58,83.87
13,27,29/12/14,27,good,7,17,1,25,41.18
14,27,29/12/14,27,bad,53,59,5,117,89.83
15,27,29/12/14,30,good,37,45,0,82,82.22
16,27,29/12/14,30,bad,90,109,16,215,82.57
1,28,05/01/15,27,good,44,79,3,126,55.7
2,28,05/01/15,27,bad,37,31,2,70,119.35
3,28,05/01/15,30,good,47,83,7,137,56.63
4,28,05/01/15,30,bad,68,80,10,158,85
6,28,05/01/15,33,bad,17,19,0,36,89.47
7,28,05/01/15,27,good,28,47,9,84,59.57
8,28,05/01/15,27,bad,35,47,2,84,74.47
9,28,05/01/15,30,good,27,44,2,73,61.36
10,28,05/01/15,30,bad,58,77,7,142,75.32
12,28,05/01/15,33,bad,10,24,1,35,41.67
13,28,05/01/15,27,good,3,5,0,8,60
14,28,05/01/15,27,bad,42,56,3,101,75
15,28,05/01/15,30,good,50,85,0,135,58.82
16,28,05/01/15,30,bad,52,81,8,141,64.2
1,29,12/01/15,27,good,49,59,10,118,83.05
2,29,12/01/15,27,bad,34,28,5,67,121.43
3,29,12/01/15,30,good,51,94,7,152,54.26
4,29,12/01/15,30,bad,72,106,14,192,67.92
6,29,12/01/15,33,bad,8,11,0,19,72.73
7,29,12/01/15,27,good,27,58,11,96,46.55
8,29,12/01/15,27,bad,40,28,5,73,142.86
9,29,12/01/15,30,good,56,95,5,156,58.95
10,29,12/01/15,30,bad,54,71,19,144,76.06
12,29,12/01/15,33,bad,11,9,0,20,122.22
13,29,12/01/15,27,good,13,20,0,33,65
14,29,12/01/15,27,bad,62,47,6,115,131.91
15,29,12/01/15,30,good,80,103,3,186,77.67
16,29,12/01/15,30,bad,56,74,19,149,75.68
1,30,19/01/15,27,good,31,37,3,71,83.78
2,30,19/01/15,27,bad,44,37,7,88,118.92
3,30,19/01/15,30,good,102,99,9,210,103.03
4,30,19/01/15,30,bad,42,67,11,120,62.69
6,30,19/01/15,33,bad,16,11,0,27,145.45
7,30,19/01/15,27,good,31,47,14,92,65.96
8,30,19/01/15,27,bad,38,38,8,84,100
9,30,19/01/15,30,good,65,82,3,150,79.27
10,30,19/01/15,30,bad,41,57,11,109,71.93
12,30,19/01/15,33,bad,20,25,0,45,80
13,30,19/01/15,27,good,31,38,5,74,81.58
14,30,19/01/15,27,bad,39,47,10,96,82.98
15,30,19/01/15,30,good,58,72,5,135,80.56
16,30,19/01/15,30,bad,38,53,7,98,71.7
1,31,26/01/15,27,good,67,80,8,155,83.75
2,31,26/01/15,27,bad,47,43,6,96,109.3
3,31,26/01/15,30,good,43,47,7,97,91.49
4,31,26/01/15,30,bad,150,155,6,311,96.77
6,31,26/01/15,33,bad,14,12,0,26,116.67
7,31,26/01/15,27,good,57,47,10,114,121.28
8,31,26/01/15,27,bad,30,37,3,70,81.08
9,31,26/01/15,30,good,49,49,1,99,100
10,31,26/01/15,30,bad,54,71,5,130,76.06
12,31,26/01/15,33,bad,40,35,0,75,114.29
13,31,26/01/15,27,good,54,68,1,123,79.41
14,31,26/01/15,27,bad,34,54,6,94,62.96
15,31,26/01/15,30,good,60,55,3,118,109.09
16,31,26/01/15,30,bad,62,61,3,126,101.64
1,32,02/02/15,27,good,71,78,3,152,91.03
2,32,02/02/15,27,bad,63,69,4,136,91.3
3,32,02/02/15,30,good,116,158,18,292,73.42
4,32,02/02/15,30,bad,133,116,7,256,114.66
6,32,02/02/15,33,bad,16,19,0,35,84.21
7,32,02/02/15,27,good,84,94,4,182,89.36
8,32,02/02/15,27,bad,86,60,2,148,143.33
9,32,02/02/15,30,good,96,98,13,207,97.96
10,32,02/02/15,30,bad,155,122,20,297,127.05
12,32,02/02/15,33,bad,23,33,0,56,69.7
13,32,02/02/15,27,good,81,90,5,176,90
14,32,02/02/15,27,bad,97,79,13,189,122.78
15,32,02/02/15,30,good,69,96,13,178,71.88
16,32,02/02/15,30,bad,142,132,6,280,107.58
1,33,09/02/15,27,good,56,56,3,115,100
2,33,09/02/15,27,bad,67,48,1,116,139.58
3,33,09/02/15,30,good,87,123,9,219,70.73
4,33,09/02/15,30,bad,108,118,7,233,91.53
6,33,09/02/15,33,bad,5,4,0,9,125
7,33,09/02/15,27,good,45,62,2,109,72.58
8,33,09/02/15,27,bad,71,55,0,126,129.09
9,33,09/02/15,30,good,92,112,1,205,82.14
10,33,09/02/15,30,bad,63,93,13,169,67.74
12,33,09/02/15,33,bad,12,21,0,33,57.14
13,33,09/02/15,27,good,79,88,6,173,89.77
14,33,09/02/15,27,bad,68,56,7,131,121.43
15,33,09/02/15,30,good,66,72,1,139,91.67
