box,date,number,temp,food,section removed,3rd,4th,5M,5F,Total
14,05/08/2014,5,27,bad,5B,8,1,3,4,16
15,05/08/2014,5,30,good,5B,57,14,2,1,74
16,05/08/2014,5,30,bad,5B,11,0,0,0,11
17,05/08/2014,5,33,good,5B,0,1,0,0,1
18,05/08/2014,5,33,bad,5B,0,1,0,0,1
1,12/08/2014,6,27,good,6C,65,58,12,12,147
2,12/08/2014,6,27,bad,6C,29,9,7,1,46
3,12/08/2014,6,30,good,6C,26,16,3,2,47
4,12/08/2014,6,30,bad,6C,38,12,5,9,64
5,12/08/2014,6,33,good,6C,3,2,1,3,9
6,12/08/2014,6,33,bad,6C,0,1,4,5,10
7,12/08/2014,6,27,good,6C,41,12,2,7,62
8,12/08/2014,6,27,bad,6C,24,8,4,11,47
9,12/08/2014,6,30,good,6C,46,16,2,5,69
10,12/08/2014,6,30,bad,6C,16,5,1,5,27
11,12/08/2014,6,33,good,6C,0,0,0,0,0
12,12/08/2014,6,33,bad,6C,4,2,1,3,10
13,12/08/2014,6,27,good,6C,45,16,3,5,69
14,12/08/2014,6,27,bad,6C,27,4,5,8,44
15,12/08/2014,6,30,good,6C,47,25,2,10,84
16,12/08/2014,6,30,bad,6C,17,4,5,4,30
17,12/08/2014,6,33,good,6C,0,0,0,0,0
18,12/08/2014,6,33,bad,6C,0,0,0,0,0
1,19/08/2014,7,27,good,1A,0,0,5,5,10
2,19/08/2014,7,27,bad,1A,5,0,5,0,10
3,19/08/2014,7,30,good,1A,1,0,0,4,5
4,19/08/2014,7,30,bad,1A,5,1,1,0,7
5,19/08/2014,7,33,good,1A,5,1,2,0,8
6,19/08/2014,7,33,bad,1A,0,0,0,0,0
7,19/08/2014,7,27,good,1A,0,0,1,3,4
8,19/08/2014,7,27,bad,1A,0,0,0,0,0
9,19/08/2014,7,30,good,1A,0,0,3,5,8
10,19/08/2014,7,30,bad,1A,2,3,1,2,8
11,19/08/2014,7,33,good,1A,0,0,0,0,0
12,19/08/2014,7,33,bad,1A,2,2,2,1,7
13,19/08/2014,7,27,good,1A,0,0,2,5,7
14,19/08/2014,7,27,bad,1A,3,1,1,3,8
15,19/08/2014,7,30,good,1A,0,0,0,2,2
16,19/08/2014,7,30,bad,1A,2,0,0,0,2
17,19/08/2014,7,33,good,1A,0,0,0,0,0
18,19/08/2014,7,33,bad,1A,0,0,0,0,0
1,26/08/2014,8,27,good,2B,0,0,1,2,3
2,26/08/2014,8,27,bad,2B,0,0,0,2,2
3,26/08/2014,8,30,good,2B,0,0,2,4,6
4,26/08/2014,8,30,bad,2B,4,0,6,6,16
5,26/08/2014,8,33,good,2B,0,0,0,1,1
6,26/08/2014,8,33,bad,2B,0,0,0,1,1
7,26/08/2014,8,27,good,2B,0,0,1,5,6
8,26/08/2014,8,27,bad,2B,1,0,2,1,4
9,26/08/2014,8,30,good,2B,0,0,2,2,4
10,26/08/2014,8,30,bad,2B,1,0,1,3,5
11,26/08/2014,8,33,good,2B,0,0,0,0,0
12,26/08/2014,8,33,bad,2B,0,1,1,0,2
13,26/08/2014,8,27,good,2B,1,0,3,5,9
14,26/08/2014,8,27,bad,2B,1,0,2,6,9
15,26/08/2014,8,30,good,2B,0,0,0,1,1
16,26/08/2014,8,30,bad,2B,3,1,4,6,14
17,26/08/2014,8,33,good,2B,0,0,0,0,0
18,26/08/2014,8,33,bad,2B,0,0,0,0,0
1,02/09/2014,9,27,good,3C,1,0,11,10,22
2,02/09/2014,9,27,bad,3C,3,2,1,6,12
3,02/09/2014,9,30,good,3C,3,1,3,5,12
4,02/09/2014,9,30,bad,3C,7,3,5,4,19
5,02/09/2014,9,33,good,3C,2,1,1,1,5
6,02/09/2014,9,33,bad,3C,2,2,0,0,4
7,02/09/2014,9,27,good,3C,6,1,8,11,26
8,02/09/2014,9,27,bad,3C,14,9,5,14,42
9,02/09/2014,9,30,good,3C,3,0,7,4,14
10,02/09/2014,9,30,bad,3C,1,1,2,9,13
11,02/09/2014,9,33,good,3C,0,0,0,0,0
12,02/09/2014,9,33,bad,3C,1,1,0,0,2
13,02/09/2014,9,27,good,3C,1,2,5,12,20
14,02/09/2014,9,27,bad,3C,3,5,9,12,29
15,02/09/2014,9,30,good,3C,2,5,4,5,16
16,02/09/2014,9,30,bad,3C,8,3,3,4,18
17,02/09/2014,9,33,good,3C,0,0,0,0,0
18,02/09/2014,9,33,bad,3C,0,0,0,0,0
1,09/09/2014,10,27,good,4A,5,3,7,5,20
2,09/09/2014,10,27,bad,4A,13,1,0,2,16
3,09/09/2014,10,30,good,4A,2,3,3,4,12
4,09/09/2014,10,30,bad,4A,9,3,0,0,12
5,09/09/2014,10,33,good,4A,5,1,1,5,12
6,09/09/2014,10,33,bad,4A,2,2,1,3,8
7,09/09/2014,10,27,good,4A,1,3,6,11,21
8,09/09/2014,10,27,bad,4A,4,1,4,1,10
9,09/09/2014,10,30,good,4A,0,0,4,3,7
10,09/09/2014,10,30,bad,4A,5,2,1,2,10
11,09/09/2014,10,33,good,4A,0,0,0,0,0
12,09/09/2014,10,33,bad,4A,1,0,2,0,3
13,09/09/2014,10,27,good,4A,1,0,5,5,11
14,09/09/2014,10,27,bad,4A,1,0,1,6,8
15,09/09/2014,10,30,good,4A,6,2,3,7,18
16,09/09/2014,10,30,bad,4A,5,2,1,0,8
17,09/09/2014,10,33,good,4A,0,0,0,0,0
18,09/09/2014,10,33,bad,4A,0,0,0,0,0
1,16/09/2014,11,27,good,5B,5,6,1,2,14
2,16/09/2014,11,27,bad,5B,14,12,6,4,36
3,16/09/2014,11,30,good,5B,5,3,0,0,8
4,16/09/2014,11,30,bad,5B,10,9,2,5,26
5,16/09/2014,11,33,good,5B,2,3,0,0,5
6,16/09/2014,11,33,bad,5B,0,1,0,0,1
7,16/09/2014,11,27,good,5B,3,1,0,1,5
8,16/09/2014,11,27,bad,5B,6,4,1,3,14
9,16/09/2014,11,30,good,5B,7,0,1,4,12
10,16/09/2014,11,30,bad,5B,6,3,6,2,17
11,16/09/2014,11,33,good,5B,0,0,0,0,0
12,16/09/2014,11,33,bad,5B,0,1,1,0,2
13,16/09/2014,11,27,good,5B,0,1,6,6,13
14,16/09/2014,11,27,bad,5B,11,3,2,3,19
15,16/09/2014,11,30,good,5B,1,4,2,7,14
16,16/09/2014,11,30,bad,5B,2,8,7,7,24
17,16/09/2014,11,33,good,5B,0,0,0,0,0
18,16/09/2014,11,33,bad,5B,0,0,0,0,0
1,23/09/2014,12,27,good,6C,4,4,1,4,13
2,23/09/2014,12,27,bad,6C,31,15,14,12,72
3,23/09/2014,12,30,good,6C,10,10,1,6,27
4,23/09/2014,12,30,bad,6C,8,6,5,8,27
5,23/09/2014,12,33,good,6C,0,0,1,1,2
6,23/09/2014,12,33,bad,6C,0,0,0,0,0
7,23/09/2014,12,27,good,6C,3,4,1,6,14
8,23/09/2014,12,27,bad,6C,2,0,4,2,8
9,23/09/2014,12,30,good,6C,11,9,6,3,29
10,23/09/2014,12,30,bad,6C,13,9,3,12,37
11,23/09/2014,12,33,good,6C,0,0,0,0,0
12,23/09/2014,12,33,bad,6C,3,3,2,2,10
13,23/09/2014,12,27,good,6C,13,10,3,6,32
14,23/09/2014,12,27,bad,6C,15,7,4,5,31
15,23/09/2014,12,30,good,6C,14,10,8,10,42
16,23/09/2014,12,30,bad,6C,4,1,7,6,18
17,23/09/2014,12,33,good,6C,0,0,0,0,0
18,23/09/2014,12,33,bad,6C,0,0,0,0,0
1,30/09/2014,13,27,good,1A,0,0,0,1,1
2,30/09/2014,13,27,bad,1A,0,1,1,2,4
3,30/09/2014,13,30,good,1A,0,1,3,8,12
4,30/09/2014,13,30,bad,1A,0,0,2,2,4
5,30/09/2014,13,33,good,1A,4,2,0,1,7
6,30/09/2014,13,33,bad,1A,8,6,1,0,15
7,30/09/2014,13,27,good,1A,0,1,1,4,6
8,30/09/2014,13,27,bad,1A,0,1,2,4,7
9,30/09/2014,13,30,good,1A,0,0,0,0,0
10,30/09/2014,13,30,bad,1A,1,1,1,10,13
11,30/09/2014,13,33,good,1A,2,2,0,0,4
12,30/09/2014,13,33,bad,1A,4,1,1,2,8
13,30/09/2014,13,27,good,1A,0,0,2,4,6
14,30/09/2014,13,27,bad,1A,0,0,3,5,8
15,30/09/2014,13,30,good,1A,0,0,0,1,1
16,30/09/2014,13,30,bad,1A,5,1,1,4,11
17,30/09/2014,13,33,good,1A,0,0,0,0,0
18,30/09/2014,13,33,bad,1A,0,0,0,0,0
1,07/10/2014,14,27,good,2B,3,0,2,3,8
2,07/10/2014,14,27,bad,2B,8,1,1,1,11
3,07/10/2014,14,30,good,2B,2,0,1,2,5
4,07/10/2014,14,30,bad,2B,3,1,0,1,5
5,07/10/2014,14,33,good,2B,3,0,0,0,3
6,07/10/2014,14,33,bad,2B,6,5,0,5,16
7,07/10/2014,14,27,good,2B,1,0,0,1,2
8,07/10/2014,14,27,bad,2B,1,3,4,3,11
9,07/10/2014,14,30,good,2B,1,2,0,2,5
10,07/10/2014,14,30,bad,2B,9,3,0,1,13
11,07/10/2014,14,33,good,2B,0,1,0,2,3
12,07/10/2014,14,33,bad,2B,0,1,0,0,1
13,07/10/2014,14,27,good,2B,6,5,2,4,17
14,07/10/2014,14,27,bad,2B,2,0,0,2,4
15,07/10/2014,14,30,good,2B,7,4,1,3,15
16,07/10/2014,14,30,bad,2B,10,3,1,0,14
17,07/10/2014,14,33,good,2B,0,0,0,0,0
18,07/10/2014,14,33,bad,2B,0,0,0,0,0
1,14/10/2014,15,27,good,3C,2,3,8,8,21
2,14/10/2014,15,27,bad,3C,1,1,0,1,3
3,14/10/2014,15,30,good,3C,1,1,4,2,8
4,14/10/2014,15,30,bad,3C,0,0,1,4,5
5,14/10/2014,15,33,good,3C,1,0,0,0,1
6,14/10/2014,15,33,bad,3C,2,2,1,2,7
7,14/10/2014,15,27,good,3C,2,3,3,4,12
8,14/10/2014,15,27,bad,3C,3,0,0,0,3
9,14/10/2014,15,30,good,3C,11,1,1,5,18
10,14/10/2014,15,30,bad,3C,1,0,0,0,1
11,14/10/2014,15,33,good,3C,0,0,0,0,0
12,14/10/2014,15,33,bad,3C,0,0,0,0,0
13,14/10/2014,15,27,good,3C,7,0,2,4,13
14,14/10/2014,15,27,bad,3C,3,1,2,0,6
15,14/10/2014,15,30,good,3C,0,0,3,4,7
16,14/10/2014,15,30,bad,3C,1,1,0,0,2
17,14/10/2014,15,33,good,3C,0,0,0,0,0
1,21/10/2014,16,27,good,4A,0,1,1,6,8
2,21/10/2014,16,27,bad,4A,8,8,1,1,18
3,21/10/2014,16,30,good,4A,1,2,1,1,5
4,21/10/2014,16,30,bad,4A,5,3,2,2,12
5,21/10/2014,16,33,good,4A,0,2,0,0,2
6,21/10/2014,16,33,bad,4A,0,1,0,2,3
7,21/10/2014,16,27,good,4A,9,7,2,4,22
8,21/10/2014,16,27,bad,4A,1,8,7,4,20
9,21/10/2014,16,30,good,4A,13,10,3,2,28
10,21/10/2014,16,30,bad,4A,7,6,1,1,15
11,21/10/2014,16,33,good,4A,0,0,0,0,0
12,21/10/2014,16,33,bad,4A,0,0,0,0,0
13,21/10/2014,16,27,good,4A,13,20,3,8,44
14,21/10/2014,16,27,bad,4A,13,11,2,8,34
15,21/10/2014,16,30,good,4A,7,4,1,1,13
16,21/10/2014,16,30,bad,4A,5,5,5,3,18
17,21/10/2014,16,33,good,4A,0,0,0,0,0
1,27/10/2014,17,27,good,5B,3,3,0,1,7
2,27/10/2014,17,27,bad,5B,0,4,0,5,9
3,27/10/2014,17,30,good,5B,6,2,1,3,12
4,27/10/2014,17,30,bad,5B,5,3,2,4,14
5,27/10/2014,17,33,good,5B,0,0,0,0,0
6,27/10/2014,17,33,bad,5B,0,0,0,0,0
7,27/10/2014,17,27,good,5B,8,3,9,12,32
8,27/10/2014,17,27,bad,5B,8,6,4,7,25
9,27/10/2014,17,30,good,5B,12,11,8,7,38
10,27/10/2014,17,30,bad,5B,18,6,0,3,27
11,27/10/2014,17,33,good,5B,0,0,0,0,0
12,27/10/2014,17,33,bad,5B,1,1,2,0,4
13,27/10/2014,17,27,good,5B,10,7,10,6,33
14,27/10/2014,17,27,bad,5B,9,2,4,5,20
15,27/10/2014,17,30,good,5B,15,12,5,7,39
16,27/10/2014,17,30,bad,5B,2,0,5,2,9
17,27/10/2014,17,33,good,5B,0,0,0,0,0
1,04/11/2014,18,27,good,6C,10,5,1,4,20
2,04/11/2014,18,27,bad,6C,11,8,5,7,31
3,04/11/2014,18,30,good,6C,9,2,4,4,19
4,04/11/2014,18,30,bad,6C,6,6,2,6,20
5,04/11/2014,18,33,good,6C,0,0,0,0,0
6,04/11/2014,18,33,bad,6C,3,0,0,0,3
7,04/11/2014,18,27,good,6C,8,6,2,4,20
8,04/11/2014,18,27,bad,6C,9,6,6,13,34
9,04/11/2014,18,30,good,6C,14,4,5,10,33
10,04/11/2014,18,30,bad,6C,13,12,13,9,47
11,04/11/2014,18,33,good,6C,0,0,0,0,0
12,04/11/2014,18,33,bad,6C,0,2,0,0,2
13,04/11/2014,18,27,good,6C,2,1,0,0,3
14,04/11/2014,18,27,bad,6C,9,8,0,1,18
15,04/11/2014,18,30,good,6C,23,3,5,5,36
16,04/11/2014,18,30,bad,6C,2,1,1,2,6
1,11/11/2014,19,27,good,1A,4,3,4,0,11
2,11/11/2014,19,27,bad,1A,2,2,2,0,6
3,11/11/2014,19,30,good,1A,0,1,5,5,11
4,11/11/2014,19,30,bad,1A,4,1,0,0,5
5,11/11/2014,19,33,good,1A,0,0,0,0,0
6,11/11/2014,19,33,bad,1A,0,0,0,0,0
7,11/11/2014,19,27,good,1A,4,4,2,1,11
8,11/11/2014,19,27,bad,1A,5,1,0,4,10
9,11/11/2014,19,30,good,1A,0,0,4,2,6
10,11/11/2014,19,30,bad,1A,4,1,0,0,5
11,11/11/2014,19,33,good,1A,0,0,0,0,0
12,11/11/2014,19,33,bad,1A,4,2,1,0,7
13,11/11/2014,19,27,good,1A,0,0,0,0,0
14,11/11/2014,19,27,bad,1A,5,2,1,1,9
15,11/11/2014,19,30,good,1A,0,1,0,0,1
16,11/11/2014,19,30,bad,1A,3,1,1,2,7
1,17/11/2014,20,27,good,2B,3,2,0,1,6
2,17/11/2014,20,27,bad,2B,4,8,8,7,27
3,17/11/2014,20,30,good,2B,5,3,2,2,12
4,17/11/2014,20,30,bad,2B,2,5,2,5,14
5,17/11/2014,20,33,good,2B,0,0,0,0,0
6,17/11/2014,20,33,bad,2B,1,3,0,1,5
7,17/11/2014,20,27,good,2B,3,4,2,2,11
8,17/11/2014,20,27,bad,2B,2,0,2,1,5
9,17/11/2014,20,30,good,2B,0,0,0,3,3
10,17/11/2014,20,30,bad,2B,9,7,1,3,20
11,17/11/2014,20,33,good,2B,0,0,0,0,0
12,17/11/2014,20,33,bad,2B,0,2,0,2,4
13,17/11/2014,20,27,good,2B,0,0,0,0,0
14,17/11/2014,20,27,bad,2B,3,1,2,3,9
15,17/11/2014,20,30,good,2B,1,0,0,0,1
16,17/11/2014,20,30,bad,2B,4,6,1,1,12
1,24/11/2014,21,27,good,3C,3,3,5,10,21
2,24/11/2014,21,27,bad,3C,0,3,2,3,8
3,24/11/2014,21,30,good,3C,2,0,3,5,10
4,24/11/2014,21,30,bad,3C,0,1,0,1,2
5,24/11/2014,21,33,good,3C,0,0,0,0,0
6,24/11/2014,21,33,bad,3C,1,3,1,0,5
7,24/11/2014,21,27,good,3C,6,5,8,5,24
8,24/11/2014,21,27,bad,3C,4,2,3,2,11
9,24/11/2014,21,30,good,3C,5,1,2,4,12
10,24/11/2014,21,30,bad,3C,1,1,0,0,2
11,24/11/2014,21,33,good,3C,0,0,0,0,0
12,24/11/2014,21,33,bad,3C,2,1,0,2,5
13,24/11/2014,21,27,good,3C,1,0,0,0,1
14,24/11/2014,21,27,bad,3C,3,0,4,2,9
15,24/11/2014,21,30,good,3C,1,3,1,0,5
16,24/11/2014,21,30,bad,3C,1,1,0,4,6
1,01/12/2014,22,27,good,4A,2,2,2,1,7
2,01/12/2014,22,27,bad,4A,5,2,1,1,9
3,01/12/2014,22,30,good,4A,12,10,2,1,25
4,01/12/2014,22,30,bad,4A,7,2,0,5,14
5,01/12/2014,22,33,good,4A,0,0,0,0,0
6,01/12/2014,22,33,bad,4A,1,1,0,1,3
7,01/12/2014,22,27,good,4A,12,5,13,10,40
8,01/12/2014,22,27,bad,4A,7,8,5,3,23
9,01/12/2014,22,30,good,4A,6,1,4,2,13
10,01/12/2014,22,30,bad,4A,4,1,4,1,10
11,01/12/2014,22,33,good,4A,0,0,0,0,0
12,01/12/2014,22,33,bad,4A,3,1,5,3,12
13,01/12/2014,22,27,good,4A,0,0,0,0,0
14,01/12/2014,22,27,bad,4A,10,2,5,7,24
15,01/12/2014,22,30,good,4A,0,0,0,0,0
16,01/12/2014,22,30,bad,4A,5,3,1,5,14
1,08/12/2014,23,27,good,5B,7,0,5,4,16
2,08/12/2014,23,27,bad,5B,5,3,1,0,9
3,08/12/2014,23,30,good,5B,17,0,1,0,18
4,08/12/2014,23,30,bad,5B,4,0,0,0,4
5,08/12/2014,23,33,good,5B,0,0,0,0,0
6,08/12/2014,23,33,bad,5B,0,0,0,0,0
7,08/12/2014,23,27,good,5B,5,8,4,5,22
8,08/12/2014,23,27,bad,5B,4,0,0,4,8
9,08/12/2014,23,30,good,5B,1,1,1,1,4
10,08/12/2014,23,30,bad,5B,9,5,2,4,20
11,08/12/2014,23,33,good,5B,0,0,0,0,0
12,08/12/2014,23,33,bad,5B,2,2,0,1,5
13,08/12/2014,23,27,good,5B,0,2,2,0,4
14,08/12/2014,23,27,bad,5B,5,1,1,3,10
15,08/12/2014,23,30,good,5B,6,2,1,0,9
16,08/12/2014,23,30,bad,5B,5,1,0,1,7
1,15/12/2014,24,27,good,6C,6,3,0,4,13
2,15/12/2014,24,27,bad,6C,11,3,2,10,26
3,15/12/2014,24,30,good,6C,17,11,1,10,39
4,15/12/2014,24,30,bad,6C,7,2,0,1,10
5,15/12/2014,24,33,good,6C,0,0,0,0,0
6,15/12/2014,24,33,bad,6C,1,3,1,1,6
7,15/12/2014,24,27,good,6C,17,11,8,11,47
8,15/12/2014,24,27,bad,6C,13,9,3,10,35
9,15/12/2014,24,30,good,6C,5,1,1,2,9
10,15/12/2014,24,30,bad,6C,2,1,1,0,4
12,15/12/2014,24,33,bad,6C,0,0,0,0,0
13,15/12/2014,24,27,good,6C,1,5,2,1,9
14,15/12/2014,24,27,bad,6C,7,8,7,3,25
15,15/12/2014,24,30,good,6C,6,7,0,1,14
16,15/12/2014,24,30,bad,6C,7,4,0,2,13
1,22/12/2014,25,27,good,1A,0,0,0,4,4
2,22/12/2014,25,27,bad,1A,1,2,1,2,6
3,22/12/2014,25,30,good,1A,1,1,1,2,5
4,22/12/2014,25,30,bad,1A,0,3,0,1,4
5,22/12/2014,25,33,good,1A,0,0,0,0,0
6,22/12/2014,25,33,bad,1A,0,0,0,0,0
7,22/12/2014,25,27,good,1A,0,0,1,0,1
8,22/12/2014,25,27,bad,1A,0,2,2,2,6
9,22/12/2014,25,30,good,1A,1,0,1,0,2
10,22/12/2014,25,30,bad,1A,1,3,0,0,4
12,22/12/2014,25,33,bad,1A,1,1,0,0,2
13,22/12/2014,25,27,good,1A,4,6,0,1,11
14,22/12/2014,25,27,bad,1A,0,4,1,1,6
15,22/12/2014,25,30,good,1A,7,9,0,0,16
16,22/12/2014,25,30,bad,1A,0,0,0,1,1
1,29/12/2014,26,27,good,2B,2,4,1,1,8
2,29/12/2014,26,27,bad,2B,0,0,1,2,3
3,29/12/2014,26,30,good,2B,2,1,2,2,7
4,29/12/2014,26,30,bad,2B,0,1,1,1,3
5,29/12/2014,26,33,good,2B,0,0,0,0,0
6,29/12/2014,26,33,bad,2B,0,0,1,0,1
7,29/12/2014,26,27,good,2B,2,1,0,4,7
8,29/12/2014,26,27,bad,2B,0,4,1,1,6
9,29/12/2014,26,30,good,2B,0,6,0,1,7
10,29/12/2014,26,30,bad,2B,1,4,0,1,6
12,29/12/2014,26,33,bad,2B,0,0,0,0,0
13,29/12/2014,26,27,good,2B,0,0,2,1,3
14,29/12/2014,26,27,bad,2B,1,4,1,2,8
15,29/12/2014,26,30,good,2B,0,4,5,2,11
16,29/12/2014,26,30,bad,2B,0,2,0,0,2
1,05/01/2015,27,27,good,3C,0,3,1,5,9
2,05/01/2015,27,27,bad,3C,6,2,0,1,9
3,05/01/2015,27,30,good,3C,17,5,0,1,23
4,05/01/2015,27,30,bad,3C,3,2,1,1,7
5,05/01/2015,27,33,good,3C,0,0,0,0,0
6,05/01/2015,27,33,bad,3C,0,0,0,0,0
7,05/01/2015,27,27,good,3C,15,15,0,11,41
8,05/01/2015,27,27,bad,3C,2,1,0,3,6
9,05/01/2015,27,30,good,3C,1,1,2,1,5
10,05/01/2015,27,30,bad,3C,10,5,0,0,15
12,05/01/2015,27,33,bad,3C,2,0,0,1,3
13,05/01/2015,27,27,good,3C,10,5,3,3,21
14,05/01/2015,27,27,bad,3C,2,2,1,0,5
15,05/01/2015,27,30,good,3C,0,0,0,0,0
16,05/01/2015,27,30,bad,3C,8,1,2,1,12
1,12/01/2015,28,27,good,4A,8,9,2,4,23
2,12/01/2015,28,27,bad,4A,5,4,0,2,11
3,12/01/2015,28,30,good,4A,5,7,0,3,15
4,12/01/2015,28,30,bad,4A,7,7,1,0,15
6,12/01/2015,28,33,bad,4A,1,0,2,0,3
7,12/01/2015,28,27,good,4A,6,13,2,2,23
8,12/01/2015,28,27,bad,4A,4,6,1,1,12
9,12/01/2015,28,30,good,4A,2,1,0,2,5
10,12/01/2015,28,30,bad,4A,0,1,0,4,5
12,12/01/2015,28,33,bad,4A,0,0,0,0,0
13,12/01/2015,28,27,good,4A,14,8,3,3,28
14,12/01/2015,28,27,bad,4A,1,6,1,3,11
15,12/01/2015,28,30,good,4A,4,3,0,2,9
16,12/01/2015,28,30,bad,4A,11,9,1,1,22
1,19/01/2015,29,27,good,5B,3,4,2,3,12
2,19/01/2015,29,27,bad,5B,2,2,1,2,7
3,19/01/2015,29,30,good,5B,4,2,0,0,6
4,19/01/2015,29,30,bad,5B,5,7,0,2,14
6,19/01/2015,29,33,bad,5B,0,0,0,0,0
7,19/01/2015,29,27,good,5B,11,13,5,9,38
8,19/01/2015,29,27,bad,5B,4,5,3,1,13
9,19/01/2015,29,30,good,5B,4,1,4,4,13
10,19/01/2015,29,30,bad,5B,8,5,0,0,13
12,19/01/2015,29,33,bad,5B,0,3,0,2,5
13,19/01/2015,29,27,good,5B,1,3,2,2,8
14,19/01/2015,29,27,bad,5B,4,4,4,2,14
15,19/01/2015,29,30,good,5B,3,4,0,1,8
16,19/01/2015,29,30,bad,5B,3,4,0,3,10
1,26/01/2015,30,27,good,6C,2,2,3,5,12
2,26/01/2015,30,27,bad,6C,6,10,3,8,27
3,26/01/2015,30,30,good,6C,2,5,2,3,12
4,26/01/2015,30,30,bad,6C,1,5,2,4,12
