revenue,theaters,weeknum,film,year,days,revperday,cumerev
518727,408,13,5,2007,7,74103.85714,290753534
378605,377,14,5,2007,7,54086.42857,291132139
272049,283,15,5,2007,7,38864.14286,291404188
193019,225,16,5,2007,7,27574.14286,291597207
132580,159,17,5,2007,7,18940,291729787
99893,105,18,5,2007,7,14270.42857,291829680
69894,90,19,5,2007,7,9984.857143,291899574
57500,56,20,5,2007,7,8214.285714,291957074
33518,52,21,5,2007,7,4788.285714,291990592
14146,38,22,5,2007,7,2020.857143,292004738
191833631,4325,1,6,2009,9,21314847.89,191833631
45929229,4455,2,6,2009,7,6561318.429,237762860
27157424,4393,3,6,2009,7,3879632,264920284
13817669,3455,4,6,2009,7,1973952.714,278737953
8022422,2771,5,6,2009,7,1146060.286,286760375
5031277,1936,6,6,2009,7,718753.8571,291791652
3320466,1508,7,6,2009,7,474352.2857,295112118
2824100,1091,8,6,2009,7,403442.8571,297936218
1213090,744,9,6,2009,7,173298.5714,299149308
546691,415,10,6,2009,7,78098.71429,299695999
360681,301,11,6,2009,7,51525.85714,300056680
234100,190,12,6,2009,7,33442.85714,300290780
589261,505,13,6,2009,7,84180.14286,300880041
358259,356,14,6,2009,7,51179.85714,301238300
236704,245,15,6,2009,7,33814.85714,301475004
147714,201,16,6,2009,7,21102,301622718
124430,135,17,6,2009,7,17775.71429,301747148
83572,95,18,6,2009,7,11938.85714,301830720
54865,44,19,6,2009,7,7837.857143,301885585
44417,44,20,6,2009,7,6345.285714,301930002
21828,36,21,6,2009,7,3118.285714,301951830
7367,23,22,6,2009,7,1052.428571,301959197
169969028,4125,1,7,2010,7,24281289.71,169969028
57531613,4125,2,7,2010,7,8218801.857,227500641
21687764,4125,3,7,2010,7,3098252,249188405
11512852,3577,4,7,2010,7,1644693.143,260701257
9117030,1840,5,7,2010,7,1302432.857,269818287
9063229,1732,6,7,2010,7,1294747,278881516
6426856,1732,7,7,2010,7,918122.2857,285308372
3095896,1507,8,7,2010,7,442270.8571,288404268
2038229,941,9,7,2010,7,291175.5714,290442497
1180066,725,10,7,2010,7,168580.8571,291622563
765273,465,11,7,2010,7,109324.7143,292387836
502420,365,12,7,2010,7,71774.28571,292890256
652493,409,13,7,2010,7,93213.28571,293542749
543444,321,14,7,2010,7,77634.85714,294086193
317546,303,15,7,2010,7,45363.71429,294403739
211014,208,16,7,2010,7,30144.85714,294614753
143462,122,17,7,2010,7,20494.57143,294758215
98194,94,18,7,2010,7,14027.71429,294856409
87244,85,19,7,2010,7,12463.42857,294943653
57417,66,20,7,2010,7,8202.428571,295001070
226117069,4375,1,8,2011,7,32302438.43,226117069
70417440,4375,2,8,2011,7,10059634.29,296534509
34106505,4145,3,8,2011,7,4872357.857,330641014
19444927,3175,4,8,2011,7,2777846.714,350085941
11410548,2414,5,8,2011,7,1630078.286,361496489
6744203,1738,6,8,2011,7,963457.5714,368240692
3910291,1328,7,8,2011,7,558613,372150983
3952118,1092,8,8,2011,7,564588.2857,376103101
1377022,810,9,8,2011,7,196717.4286,377480123
956745,601,10,8,2011,7,136677.8571,378436868
535479,320,11,8,2011,7,76497,378972347
372539,252,12,8,2011,7,53219.85714,379344886
605966,407,13,8,2011,7,86566.57143,379950852
399785,330,14,8,2011,7,57112.14286,380350637
245917,240,15,8,2011,7,35131,380596554
156711,163,16,8,2011,7,22387.28571,380753265
148556,225,17,8,2011,7,21222.28571,380901821
72941,85,18,8,2011,7,10420.14286,380974762
36457,78,19,8,2011,7,5208.142857,381011219
